stage1,stage2,dataset,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,mcc,fn_per_1000,tp,fp,tn,fn
constellation,claude_opus_4_7_safety,physician_n41,0.7037,0.5152,0.8415,0.5714,0.3259,0.7862,0.76,0.5,0.7308,0.2675,195.12,19,6,8,8
constellation,cql_reward_opt,physician_n41,0.8519,0.6752,0.9408,0.5714,0.3259,0.7862,0.7931,0.6667,0.8214,0.4411,97.56,23,6,8,4
constellation,cql_sens_opt,physician_n41,0.7407,0.5532,0.8683,0.6429,0.3876,0.8366,0.8,0.5625,0.7692,0.3729,170.73,20,5,9,7
constellation,gemini_3_1_pro_safety,physician_n41,0.2222,0.1061,0.4076,0.8571,0.6006,0.9599,0.75,0.3636,0.3429,0.095,512.2,6,2,12,21
constellation,guardrails,physician_n41,0.037,0.0066,0.1828,0.9286,0.6853,0.9873,0.5,0.3333,0.069,-0.0757,634.15,1,1,13,26
constellation,logreg_tfidf,physician_n41,0.8519,0.6752,0.9408,0.5714,0.3259,0.7862,0.7931,0.6667,0.8214,0.4411,97.56,23,6,8,4
constellation,xgboost_sbert,physician_n41,0.8148,0.633,0.9182,0.9286,0.6853,0.9873,0.9565,0.7222,0.88,0.7103,121.95,22,1,13,5
cql_reward_opt,actionhead,physician_n41,0.4074,0.2451,0.5927,0.7143,0.4535,0.8828,0.7333,0.3846,0.5238,0.1198,390.24,11,4,10,16
cql_reward_opt,claude_opus_4_7_safety,physician_n41,0.8148,0.633,0.9182,0.5714,0.3259,0.7862,0.7857,0.6154,0.8,0.3936,121.95,22,6,8,5
cql_reward_opt,constellation,physician_n41,0.8519,0.6752,0.9408,0.5714,0.3259,0.7862,0.7931,0.6667,0.8214,0.4411,97.56,23,6,8,4
cql_reward_opt,cql_sens_opt,physician_n41,0.7407,0.5532,0.8683,0.6429,0.3876,0.8366,0.8,0.5625,0.7692,0.3729,170.73,20,5,9,7
cql_reward_opt,gemini_3_1_pro_safety,physician_n41,0.2963,0.1585,0.4848,0.8571,0.6006,0.9599,0.8,0.3871,0.4324,0.1694,463.41,8,2,12,19
cql_reward_opt,guardrails,physician_n41,0.0741,0.0206,0.2337,0.9286,0.6853,0.9873,0.6667,0.3421,0.1333,0.0048,609.76,2,1,13,25
cql_reward_opt,logreg_tfidf,physician_n41,1.0,0.8754,1.0,0.3571,0.1634,0.6124,0.75,1.0,0.8571,0.5175,0.0,27,9,5,0
cql_reward_opt,xgboost_sbert,physician_n41,0.963,0.8172,0.9934,0.9286,0.6853,0.9873,0.963,0.9286,0.963,0.8915,24.39,26,1,13,1
cql_sens_opt,actionhead,physician_n41,0.3704,0.2153,0.5577,0.7143,0.4535,0.8828,0.7143,0.3704,0.4878,0.0847,414.63,10,4,10,17
cql_sens_opt,claude_opus_4_7_safety,physician_n41,0.6296,0.4423,0.7847,0.6429,0.3876,0.8366,0.7727,0.4737,0.6939,0.2591,243.9,17,5,9,10
cql_sens_opt,constellation,physician_n41,0.7407,0.5532,0.8683,0.6429,0.3876,0.8366,0.8,0.5625,0.7692,0.3729,170.73,20,5,9,7
cql_sens_opt,cql_reward_opt,physician_n41,0.7407,0.5532,0.8683,0.6429,0.3876,0.8366,0.8,0.5625,0.7692,0.3729,170.73,20,5,9,7
cql_sens_opt,gemini_3_1_pro_safety,physician_n41,0.2222,0.1061,0.4076,0.8571,0.6006,0.9599,0.75,0.3636,0.3429,0.095,512.2,6,2,12,21
